generic,genus,genus_ref,genus_type,genus_type_ref,genus_syn,genus_syn_ref,genus_new_syn,subgenus,subgenus_ref,subgenus_type,subgenus_type_ref
Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,,,,,,,
Heterodoxus,Heterodoxus,,Dendrolagia pygidialis,"Mjöberg, 1919:94 ",Dendrolagia,"Emerson & Price, 1981b:12",,,,,
Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,,,,,,,
Boopia,Boopia,,Boopia notafusca,"Eichler, 1940a:161 ",Keleriella,"Hopkins & Clay, 1952:178",,,,,
Latumcephalum,Latumcephalum,"Le Souëf, 1902a:51",Latumcephalum macropus,Le Souëf,,,,,,,
Macropophila,Macropophila,"Mjöberg, 1919:95",Macropophila forcipata,Mjöberg,,,,,,,
Paraboopia,Paraboopia,"Werneck & Thompson, 1940:441",Paraboopia flava,Werneck & Thompson,,,,,,,
Paraheterodoxus,Paraheterodoxus,"Harrison & Johnston, 1916:356",Paraheterodoxus insignis,Harrison & Johnston,,,,,,,
Phacogalia,Phacogalia,"Mjöberg, 1919:95",Heterodoxus brevispinosus,Harrison & Johnston,,,,,,,
Therodoxus,Therodoxus,"Clay, 1971a:519",Therodoxus oweni,Clay,,,,,,,
Abrocomophaga,Abrocomophaga,"Emerson & Price, 1976:426",Abrocomophaga chilensis,Emerson & Price,,,,,,,
Macrogyropus,Macrogyropus,,Gyropus amplexans,"Ewing, 1924a:20 ",Allogyropus,"Hopkins & Clay, 1952:27",,,,,
Aotiella,Aotiella,"Eichler, 1949b:11",Gyropus aotophilus,Ewing,,,,,,,
Gyropus,Gyropus,,Gyropus ovalis,"Nitzsch [In Giebel], 1874:6 ",Diplocerus,"Hopkins & Clay, 1952:117",,,,,
Gyropus,Gyropus,,Gyropus lenti,"Eichler, 1952c:76 ",Eogyropus,"Hopkins & Clay, 1953:438",,,,,
Gliricola,Gliricola,"Mjöberg, 1910a:292",Gyropus gracilis,Nitzsch,,,,,,,
Gyropus,Gyropus,"Nitzsch, 1818:302",Gyropus ovalis,Burm.,,,,,,,
Gyropus,Gyropus,,Gyropus ovalis,"Nitzsch [In Giebel], 1874:6 ",Haemabarus,"Hopkins & Clay, 1952:162",,,,,
Macrogyropus,Macrogyropus,,Heterogyropus heteronychus,"Ewing, 1924a:27 ",Heterogyropus,"Hopkins & Clay, 1952:172",,,,,
Hutiaphilus,Gliricola,"Price & Timm, 1997:287",,,,,,Hutiaphilus,"Price & Timm, 1997:287 ",Gliricola capromydis,Werneck
Macrogyropus,Macrogyropus,"Ewing, 1924a:25",Macrogyropus dentatus,Ewing,,,,,,,
Gliricola,Gliricola,,Gyropus gracilis,"Denny, 1842:247 ",Micropus,"Hopkins & Clay, 1952:226",,,,,
Gyropus,Gyropus,,Gyropus longus,"Ewing, 1924a:10 ",Monogyropus,"Hopkins & Clay, 1952:226",,,,,
Monothoracius,Monothoracius,"Werneck, 1934b:174",Monothoracius penidoi,Werneck,,,,,,,
Gliricola,Gliricola,,Paragliricola quadrisetosa,"Ewing, 1924a:29 ",Paragliricola,"Hopkins & Clay, 1952:262",,,,,
Phtheiropoios,Phtheiropoios,"Eichler, 1940a:161",Gyropus wetmorei,Werneck,,,,,,,
Pitrufquenia,Pitrufquenia,"Marelli, 1932:9",Pitrufquenia coypus,Marelli,,,,,,,
Protogyropus,Protogyropus,"Ewing, 1924a:7",Protogyropus normalis,Ewing,,,,,,,
Gyropus,Gyropus,,Gyropus lineatus,"Ewing, 1924a:21 ",Tetragyropus,"Hopkins & Clay, 1952:348",,,,,
Haematomyzus,Haematomyzus,"Piaget, 1869:254",Haematomyzus elephantis,Piaget,,,,,,,
Haematomyzus,Haematomyzus,,Idolocoris elephantis,"Walker, 1872:131 ",Idolocoris,"Hopkins & Clay, 1952:177",,,,,
Haematomyzus,Haematomyzus,,Idolocoris elephantis,"White, 1872:234 ",Phantasmocoris,"Hopkins & Clay, 1952:279",,,,,
Eulaemobothrion,Eulaemobothrion,,Laemobothrion kelloggi,"Lakshminarayana, 1970:138 ",Ciconiicola,,New Syn,,,,
Eulaemobothrion,Laemobothrion,"Hopkins & Clay, 1952:133",,,,,,Eulaemobothrion,"Ewing, 1929:189 ",Laemobothrion nigrum,Burm.
Laemobothrion,Laemobothrion,"Nitzsch, 1818:301",Laemobothrion maximum,Scopoli,,,,,,,
Eulaemobothrion,Eulaemobothrion,,Laemobothrion opisthocomi,"Eichler, 1941a:127 ",Ornithopeplechthos,"Hopkins & Clay, 1952:253",,,,,
Eulaemobothrion,Eulaemobothrion,,Laemobothrion pallescens,"Eichler, 1941a:128 ",Plegadilymantikos,"Hopkins & Clay, 1952:294",,,,,
Eulaemobothrion,Eulaemobothrion,,Laemobothrion gracilentus,"Eichler, 1941a:128 ",Pterophagus,"Hopkins & Clay, 1952:307",,,,,
Myrsidea,Myrsidea,,Acolpocephalum brevipes,"Ewing, 1927:88 ",Acolpocephalum,"Hopkins & Clay, 1952:20",,,,,
Actornithophilus,Actornithophilus,"Ferris, 1916:303",Colpocephalum uniseriatum,Piaget,,,,,,,
Aegypiphilus,Cuculiphilus,"Scharf & Price, 1965:553",,,,,,Aegypiphilus,"Eichler, 1944d:56 ",Aegypiphilus gypsis,Eichler
Afrimenopon,Afrimenopon,"Price, 1970c:372",Franciscoloa waar,Eichler,,,,,,,
Myrsidea,Myrsidea,,Myrsidea kuluensis,"Ansari, 1951:189 ",Alcediniphilus,"Clay, 1966c:330",,,,,
Colpocephalum,Colpocephalum,,Colpocephalum semicinctum,"Qadri, 1939:66 ",Allocolpocephalum,"Hopkins & Clay, 1952:27",,,,,
Chapinia,Chapinia,,Menopon bucerotis,"Bedford, 1930:153 ",Allomenopon,"Hopkins & Clay, 1952:27",,,,,
Myrsidea,Myrsidea,,Myrsidea struthidea,"Conci, 1942a:31 ",Allomyrsidea,"Hopkins & Clay, 1952:27",,,,,
Amyrsidea,Amyrsidea,"Ewing, 1927:90",Menopon ventrale,Nitzsch,,,,,,,
Ancistrona,Ancistrona,"Westwood, 1874:197",Ancistrona procellariae,Westwood,,,,,,,
Ciconiphilus,Ciconiphilus,,nomen nudum,"Kéler, 1939c:56 ",Aneutalus,"Hopkins & Clay, 1952:36",,,,,
Ciconiphilus,Ciconiphilus,,Colpocephalum pectiniventre,"Eichler, 1944d:57 ",Anseriphilus,"Hopkins & Clay, 1952:37",,,,,
Bucerophagus,Bucerophagus,,Menopon forcipatum,"Eichler, 1947a:3 ",Antimenopon,"Hopkins & Clay, 1952:37",,,,,
Apterygon,Apterygon,"Clay, 1961a:571",Apterygon mirum,Clay,,,,,,,
Colpocephalum,Colpocephalum,,Colpocephalum impressum,"Eichler & Z{l-}otorzycka, 1971:30 ",Aquiligogus,,New Syn,,,,
Ardeiphilus,Ardeiphilus,"Bedford, 1939b:139",Colpocephalum trochioxum,Burm.,,,,,,,
Argimenopon,Amyrsidea,"Scharf & Price, 1977:815",,,,,,Argimenopon,"Eichler, 1947a:5 ",Argimenopon polytrichum,Eichler
Eureum,Eureum,,Eureum cimicoides,"Eichler, 1949b:11 ",Arndtiella,"Hopkins & Clay, 1952:42",,,,,
Myrsidea,Myrsidea,,Menopon cinerea,"Conci, 1942a:31 ",Australmenopon,"Clay, 1966c:330",,,,,
Austromenopon,Austromenopon,"Bedford, 1939b:122",Menopon crocatum,Nitzsch,,,,,,,
Colpocephalum,Colpocephalum,,Colpocephalum longipes,"Eichler, 1982:82 ",Blagoveshtshenskyella,,New Syn,,,,
