type_host,host_species,host_auth,host_order,host_family,invalid_host,host_ref,family,generic,genus,genus_ref,genus_type,genus_type_ref,specific,species,species_ref,genus_ori,subgenus,species_syn,species_syn_ref,subspecies_syn,subspecies_syn_ref,subspecies,subspecies_ref,genus_syn,genus_syn_ref,genus_new_syn
*,Antechinus bellus,Thomas) ,Dasyuromorphia,Dasyur.,,,BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,aquilonia,aquilonia,"Clay, 1976b:336",,,,,,,,,,,
*,Bettongia rufescens,,,,? host,"Hopkins & Clay, 1952:51",BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,bettongia,bettongia,"Le Souëf, 1902a:50",,,,,,,,,,,
,Isoodon macrourus,Gould) ,Peramelemorphia,Peramel.,,"Emerson & Price, 1981b:11",BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,bettongia,bettongia,"Le Souëf, 1902a:50",,,,,,,,,,,
,Isoodon obesulus,Shaw) ,Peramelemorphia,Peramel.,,"Emerson & Price, 1981b:11",BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,bettongia,bettongia,"Le Souëf, 1902a:50",,,,,,,,,,,
,Perameles nasuta,Geoffroy St.-Hilaire ,Peramelemorphia,Peramel.,,"Hopkins & Clay, 1952:51",BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,bettongia,bettongia,"Le Souëf, 1902a:50",,,,,,,,,,,
*,Macropus antilopinus,Gould) ,Diprotodontia,Macropod.,,,BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,biseriata,biseriata,"Kéler, 1971:22",,,,,,,,,,,
,Macropus robustus,Gould ,Diprotodontia,Macropod.,,"Emerson & Price, 1981b:12",BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,biseriata,biseriata,"Kéler, 1971:22",,,,,,,,,,,
*,Dendrolagus dorianus,Ramsay ,Diprotodontia,Macropod.,,,BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,doriana,doriana,"Kéler, 1971:24",,,,,,,,,,,
,Dendrolagus goodfellowi,Thomas,Diprotodontia,Macropod.,,,BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,doriana,doriana,"Kéler, 1971:24",,,,,,,,,,,
,Lasiorhinus krefftii,Owen) ,Diprotodontia,Vombat.,,"Gerhardt, Smales & McKillup, 2000:19",BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,dubia,dubia,"Werneck & Thompson, 1940:419",,,,,,,,,,,
*,Lasiorhinus latifrons,Owen),Diprotodontia,Vombat.,,,BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,dubia,dubia,"Werneck & Thompson, 1940:419",,,,,,,,,,,
*,Dasyurus albopunctatus,Schlegel ,Dasyuromorphia,Dasyur.,,,BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,emersoni,emersoni,"Clay, 1972b:399",,,,,,,,,,,
,Macropus fuliginosus,Desmarest) ,Diprotodontia,Macropod.,,"Emerson & Price, 1981b:12",BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,grandis,grandis,"Piaget, 1885:154",,,,,,,,,,,
,Macropus giganteus,Shaw ,Diprotodontia,Macropod.,,"Emerson & Price, 1981b:12",BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,grandis,grandis,"Piaget, 1885:154",,,,,,,,,,,
*,Macropus rufus,Desmarest),Diprotodontia,Macropod.,,,BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,grandis,grandis,"Piaget, 1885:154",,,,,,,,,,,
*,Antechinus minimus,Geoffroy St.-Hilaire) ,Dasyuromorphia,Dasyur.,,,BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,greeni,greeni,"Clay, 1976b:334",,,,,,,,,,,
,Antechinus swainsonii,Waterhouse) ,Dasyuromorphia,Dasyur.,,"Clay, 1976b:335",BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,greeni,greeni,"Clay, 1976b:334",,,,,,,,,,,
,Sminthopsis leucopus,Gray) ,Dasyuromorphia,Dasyur.,,"Palma & Barker, 1996:93",BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,lukoschusi,lukoschusi,"Clay, 1976b:336",,,,,,,,,,,
*,Sminthopsis murina,Waterhouse),Dasyuromorphia,Dasyur.,,,BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,lukoschusi,lukoschusi,"Clay, 1976b:336",,,,,,,,,,,
*,Macropus dorsalis,Gray) ,Diprotodontia,Macropod.,,,BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,minuta,minuta,"Le Souëf, 1902b:51",,,,,,,,,,,
*,Macropus giganteus,Shaw ,Diprotodontia,Macropod.,,,BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,mjoebergi,mjoebergi,"Werneck & Thompson, 1940:428",,,,,,,,,,,
*,Antechinus swainsonii,Waterhouse) ,Dasyuromorphia,Dasyur.,,,BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,murrayi,murrayi,"Clay, 1976b:335",,,,,,,,,,,
,Petrogale penicillata penicillata,Gray) ,Diprotodontia,Macropod.,,"Palma, 1996:162",BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,notafusca,notafusca,"Le Souëf, 1902a:50",,,,,,,,,,,
*,Wallabia bicolor,Desmarest) ,Diprotodontia,Macropod.,,,BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,notafusca,notafusca,"Le Souëf, 1902a:50",,,,,,,,,,,
*,Parantechinus bilarni,Johnson) ,Dasyuromorphia,Dasyur.,,,BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,occidua,occidua,"Clay, 1981b:589",,,,,,,,,,,
*,Lutra pruneri,,,,? host,"Hopkins & Clay, 1952:52",BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,peregrina,grandis,,,,peregrina,"Hopkins & Clay, 1952:52",,,,,,,
*,Perameles nasuta,Geoffroy St.-Hilaire ,Peramelemorphia,Peramel.,,,BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,phanerocerata,bettongia,,,,phanerocerata,"Hopkins & Clay, 1952:52",,,,,,,
*,Vombatus ursinus,Shaw) ,Diprotodontia,Vombat.,,,BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,tarsata,tarsata,"Piaget, 1880:599",,,,,,,,,,,
,Dasyurus geoffroii,Gould ,Dasyuromorphia,Dasyur.,,"Emerson & Price, 1981b:10",BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,uncinata,uncinata,"Harrison & Johnston, 1916:349",,,,,,,,,,,
,Dasyurus hallucatus,Gould ,Dasyuromorphia,Dasyur.,,"Emerson & Price, 1981b:10",BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,uncinata,uncinata,"Harrison & Johnston, 1916:349",,,,,,,,,,,
*,Dasyurus viverrinus,Shaw),Dasyuromorphia,Dasyur.,,,BOOPIIDAE,Boopia,Boopia,"Piaget, 1880:599",Boopia tarsata,Piaget,uncinata,uncinata,"Harrison & Johnston, 1916:349",,,,,,,,,,,
*,Thylogale brunii,Schreber) ,Diprotodontia,Macropod.,,,BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,alatus,alatus,"Kéler, 1971:51",,,,,,,,,,,
*,Petrogale penicillata,Gray) ,Diprotodontia,Macropod.,,,BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,ampullatus,ampullatus,"Kéler, 1971:52",,,,,,,,,,,
*,Macropus parryi,Bennett ,Diprotodontia,Macropod.,,,BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,ancoratus,ancoratus,"Kéler, 1971:53",,,,,,,,,,,
*,Canis lupus familiaris,L. ,Carnivora,Can.,,,BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,armiferus,spiniger,,,,armiferus,"Hopkins & Clay, 1952:171",,,,,,,
*,Petrogale penicillata herberti,Thomas ,Diprotodontia,Macropod.,,,BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,briscoei,briscoei,"Barker, 1991:9",,,,,,,,,,,
*,Macropus dorsalis,Gray) ,Diprotodontia,Macropod.,,,BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,calabyi,calabyi,"Kéler, 1971:54",,,,,,,,,,,
,Macropus eugenii,Desmarest) ,Diprotodontia,Macropod.,,"Emerson & Price, 1981b:12",BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,calabyi,calabyi,"Kéler, 1971:54",,,,,,,,,,,
*,Petrogale assimilis,Ramsay ,Diprotodontia,Macropod.,,,BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,closei,closei,"Barker, 1991:7",,,,,,,,,,,
,Petrogale assimilis,Ramsay ,Diprotodontia,Macropod.,,"Barker, 1991:13",BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,harrisoni,harrisoni,"Clay, 1981c:73",,,,,,,,,,,
*,Petrogale puella,Thomas  ? host ,Diprotodontia,Macropod.,,"Barker, 1991:13",BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,harrisoni,harrisoni,"Clay, 1981c:73",,,,,,,,,,,
*,Petrogale assimilis,Ramsay ,Diprotodontia,Macropod.,,,BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,hughendensis,hughendensis,"Barker, 1991:9",,,,,,,,,,,
*,Petrogale assimilis,Ramsay ,Diprotodontia,Macropod.,,,BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,insularis,insularis,"Clay, 1981c:74",,,,,,,,,,,
,Petrogale inornata,Gould ,Diprotodontia,Macropod.,,"Barker, 1991:13",BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,insularis,insularis,"Clay, 1981c:74",,,,,,,,,,,
,Petrogale assimilis,Ramsay ,Diprotodontia,Macropod.,,"Barker, 1991:11",BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,insulatus,insulatus,"Clay, 1981c:71",,,,,,,,,,,
*,Petrogale inornata,Gould  ? ID ,Diprotodontia,Macropod.,,"Barker, 1991:11",BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,insulatus,insulatus,"Clay, 1981c:71",,,,,,,,,,,
*,Dorcopsis muelleri,Lesson) ,Diprotodontia,Macropod.,,,BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,keleri,keleri,"Clay, 1971a:524",,,,,,,,,,,
,Petrogale assimilis,Ramsay ,Diprotodontia,Macropod.,,"Barker, 1991:11",BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,lesoueefi,lesoueefi,"Clay, 1981c:71",,,,,,,,,,,
*,Petrogale puella,Thomas  ? host ,Diprotodontia,Macropod.,,"Barker, 1991:11",BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,lesoueefi,lesoueefi,"Clay, 1981c:71",,,,,,,,,,,
*,Macropus rufogriseus,Desmarest) ,Diprotodontia,Macropod.,,,BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,longitarsus,longitarsus,"Piaget, 1880:504",Menopon,,,,,,,,,,
*,Dorcopsis muelleri,Lesson) ,Diprotodontia,Macropod.,,,BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,maai,maai,"Emerson, 1962c:240",,,,,,,,,,,
*,Macropus agilis,Gould) ,Diprotodontia,Macropod.,,,BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,macropus,macropus,"Le Souëf & Bullen, 1902b:159",,,,,,,,,,,
*,Petrogale inornata,Gould ,Diprotodontia,Macropod.,,,BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,maynesi,maynesi,"Clay, 1981c:71",,,,,,,,,,,
,Petrogale penicillata,Gray) ,Diprotodontia,Macropod.,,"Barker, 1991:12",BOOPIIDAE,Heterodoxus,Heterodoxus,"Le Souëf & Bullen, 1902b:159",Heterodoxus macropus,Le Souëf & Bullen,maynesi,maynesi,"Clay, 1981c:71",,,,,,,,,,,
