specific,species,species_ref,genus_ori,subgenus,species_syn,species_syn_ref,subspecies_syn,subspecies_syn_ref,subspecies,subspecies_ref
aquilonia,aquilonia,"Clay, 1976b:336",,,,,,,,
bettongia,bettongia,"Le Souëf, 1902a:50",,,,,,,,
biseriata,biseriata,"Kéler, 1971:22",,,,,,,,
doriana,doriana,"Kéler, 1971:24",,,,,,,,
dubia,dubia,"Werneck & Thompson, 1940:419",,,,,,,,
emersoni,emersoni,"Clay, 1972b:399",,,,,,,,
grandis,grandis,"Piaget, 1885:154",,,,,,,,
greeni,greeni,"Clay, 1976b:334",,,,,,,,
lukoschusi,lukoschusi,"Clay, 1976b:336",,,,,,,,
minuta,minuta,"Le Souëf, 1902b:51",,,,,,,,
mjoebergi,mjoebergi,"Werneck & Thompson, 1940:428",,,,,,,,
murrayi,murrayi,"Clay, 1976b:335",,,,,,,,
notafusca,notafusca,"Le Souëf, 1902a:50",,,,,,,,
occidua,occidua,"Clay, 1981b:589",,,,,,,,
peregrina,grandis,,,,peregrina,"Hopkins & Clay, 1952:52",,,,
phanerocerata,bettongia,,,,phanerocerata,"Hopkins & Clay, 1952:52",,,,
tarsata,tarsata,"Piaget, 1880:599",,,,,,,,
uncinata,uncinata,"Harrison & Johnston, 1916:349",,,,,,,,
alatus,alatus,"Kéler, 1971:51",,,,,,,,
ampullatus,ampullatus,"Kéler, 1971:52",,,,,,,,
ancoratus,ancoratus,"Kéler, 1971:53",,,,,,,,
armiferus,spiniger,,,,armiferus,"Hopkins & Clay, 1952:171",,,,
briscoei,briscoei,"Barker, 1991:9",,,,,,,,
calabyi,calabyi,"Kéler, 1971:54",,,,,,,,
closei,closei,"Barker, 1991:7",,,,,,,,
harrisoni,harrisoni,"Clay, 1981c:73",,,,,,,,
hughendensis,hughendensis,"Barker, 1991:9",,,,,,,,
insularis,insularis,"Clay, 1981c:74",,,,,,,,
insulatus,insulatus,"Clay, 1981c:71",,,,,,,,
keleri,keleri,"Clay, 1971a:524",,,,,,,,
lesoueefi,lesoueefi,"Clay, 1981c:71",,,,,,,,
longitarsus,longitarsus,"Piaget, 1880:504",Menopon,,,,,,,
maai,maai,"Emerson, 1962c:240",,,,,,,,
macropus,macropus,"Le Souëf & Bullen, 1902b:159",,,,,,,,
maynesi,maynesi,"Clay, 1981c:71",,,,,,,,
mitratus,mitratus,"Kéler, 1971:59",,,,,,,,
murrayi,murrayi,"Clay, 1981c:74",,,,,,,,
octoseriatus,octoseriatus,"Kéler, 1971:60",,,,,,,,
orarius,orarius,"Clay, 1981c:74",,,,,,,,
pygidialis,pygidialis,"Mjöberg, 1919:94",Dendrolagia,,,,,,,
quadriseriatus,quadriseriatus,"Kéler, 1971:62",,,,,,,,
spiniger,spiniger,"Enderlein, 1909a:80",Menopon,,,,,,,
spinigerum,spiniger,,Menopon,,spinigerum,"Hopkins & Clay, 1952:172",,,,
ualabati,ualabati,"Plomley, 1940:21",,,,,,,,
greeni,greeni,"Clay, 1974c:2",,,,,,,,
lesoueefi,lesoueefi,"Harrison & Johnston, 1916:343",,,,,,,,
macropus,macropus,"Le Souëf, 1902b:51",,,,,,,,
tenax,tenax,"Clay, 1981b:592",,,,,,,,
biarcuata,biarcuata,"Kéler, 1971:45",,,,,,,,
breviarcuata,breviarcuata,"Kéler, 1971:45",,,,,,,,
clayae,clayae,"Kéler, 1971:46",,,,,,,,
forcipata,forcipata,"Mjöberg, 1919:95",,,,,,,,
flava,flava,"Werneck & Thompson, 1940:441",,,,,,,,
calcaratus,calcaratus,"Kéler, 1971:68",,,,,,,,
erinaceus,erinaceus,"Kéler, 1971:69",,,,,,,,
insignis,insignis,"Harrison & Johnston, 1916:357",,,,,,,,
brevispinosa,brevispinosa,"Harrison & Johnston, 1916:355",Heterodoxus,,,,,,,
spinosa,spinosa,"Harrison & Johnston, 1916:350",Boopia,,,,,,,
oweni,oweni,"Clay, 1971a:520",,,,,,,,
chilensis,chilensis,"Emerson & Price, 1976:426",,,,,,,,
emmonsae,emmonsae,"Price & Timm, 2000:212",,,,,,,,
hellenthali,hellenthali,"Price & Timm, 2000:214",,,,,,,,
aotophilus,aotophilus,"Ewing, 1924a:23",Tetragyropus,,,,,,,
hershkovitzi,hershkovitzi,"Price & Timm, 1995:662",,,,,,,,
aequatorialis,aequatorialis,"Werneck, 1948:46 ",,Gliricola,,,,,,
arboricola,arboricola,"Méndez, 1969:501 ",,Gliricola,,,,,,
armatus,armatus,"Werneck, 1944c:397 ",,Hutiaphilus,,,,,,
bicaudatus,porcelli,,Gyropus,,bicaudatus,"Hopkins & Clay, 1952:144",,,,
bifurcatus,porcelli,,Pediculus,,bifurcatus,"Hopkins & Clay, 1952:144",,,,
brasiliensis,brasiliensis,"Werneck, 1934b:168 ",,Gliricola,,,,,,
brooksae,brooksae,"Price & Timm, 2002:866 ",,Gliricola,,,,,,
calcaratus,calcaratus,"Werneck, 1937a:13 ",,Gliricola,,,,,,
capromydis,capromydis,"Werneck, 1944c:394 ",,Hutiaphilus,,,,,,
columbanus,columbanus,"Werneck, 1944c:392 ",,Gliricola,,,,,,
cubanus,cubanus,"Werneck, 1944c:397 ",,Hutiaphilus,,,,,,
cutkompi,cutkompi,"Price & Timm, 2002:864 ",,Gliricola,,,,,,
decurtatus,decurtatus,"Neumann, 1912b:216",Gyropus,Gliricola,,,,,,
distinctus,distinctus,"Ewing, 1924a:32 ",,Gliricola,,,,,,
echimydis,echimydis,"Werneck, 1933c:344 ",,Gliricola,,,,,,
ewingi,ewingi,"Werneck, 1944c:399 ",,Hutiaphilus,,,,,,
